A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/8/2016 3:00,2016,1,8,3,62,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 4:00,2016,1,8,4,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 5:00,2016,1,8,5,58,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 6:00,2016,1,8,6,153,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 7:00,2016,1,8,7,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 8:00,2016,1,8,8,106,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 9:00,2016,1,8,9,89,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 10:00,2016,1,8,10,74,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 11:00,2016,1,8,11,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 12:00,2016,1,8,12,84,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 13:00,2016,1,8,13,78,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 14:00,2016,1,8,14,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 15:00,2016,1,8,15,160,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 16:00,2016,1,8,16,134,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 17:00,2016,1,8,17,96,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 18:00,2016,1,8,18,71,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/8/2016 19:00,2016,1,8,19,77,µg/m³,1 Hr,Valid
